Listagem de Filmes Brasileiros com mais de 500.000 Espectadores 1970 a 2018;;;;;;;
;;;;;;;
#;Título da obra;Direção;Produtora;UF;Estreia;Ano de Lançamento;Público
1;"""Nada a Perder""";Alexandre Avancini;Record Entretenimento;SP;mar/18;2018;12,184,373
2;"""Os Dez Mandamentos - O Filme""";Alexandre Avancini;Rede Record de Televisão;SP;jan/16;2016;11,305,479
3;"""Tropa de Elite 2""";José Padilha;Zazen Produções Audiovisuais;RJ;out/10;2010;11,146,723
4;"""Dona Flor e seus Dois Maridos""";Bruno Barreto;LC Barreto;RJ;nov/76;1976;10,735,524
5;"""Minha mãe é uma peça 2""";César Rodrigues;DiamondBack;RJ;dez/16;2016;9,234,363
6;"""A Dama do Lotação""";Neville de Almeida;Regina Filmes;SP;abr/78;1978;6,509,134
7;"""Se Eu Fosse Você 2""";Daniel Filho;Total Entertainment;RJ;jan/09;2009;6,112,851
8;"""O Trapalhão nas Minas do Rei Salomão""";J.B. Tanko;J.B.Tanko Filmes;RJ;ago/77;1977;5,786,226
9;"""Lúcio Flávio, o Passageiro da Agonia""";Hector Babenco;HB Filmes;SP;nov/77;1977;5,401,325
10;"""Dois Filhos de Francisco: a História de Zezé Di Camargo & Luciano""";Breno Silveira;Conspiração Filmes;RJ;ago/05;2005;5,319,677
11;"""Os Saltimbancos Trapalhões""";J.B. Tanko;J.B.Tanko Filmes;RJ;dez/81;1981;5,218,478
12;"""Os Saltimbancos Trapalhões""";Adriano Stuart;Renato Aragão Produções Artísticas;RJ;dez/78;1978;5,089,970
13;"""Os Trapalhões na Serra Pelada""";J.B. Tanko;J.B.Tanko Filmes;RJ;dez/82;1982;5,043,350
14;"""O Cinderelo Trapalhão""";Adriano Stuart;Renato Aragão Produções Artísticas;RJ;jun/79;1979;5,028,893
15;"""De Pernas pro Ar 2""";Roberto Santucci ;Morena Filmes Ltda.;RJ;dez/12;2012;4,846,273
16;"""O Casamento dos Trapalhões (1)""";José Alvarenga Jr;Renato Aragão Produções Artísticas;RJ;dez/88;1988;4,779,027
17;"""Coisas Eróticas """;Raffaele Rossi, L.Callachio;Empresa Cinematográfica Rossi;SP;jul/82;1982;4,729,484
18;"""Carandiru""";Hector Babenco;HB Filmes;SP;abr/03;2003;4,693,853
19;"""Os Vagabundos Trapalhões""";J.B. Tanko;J.B.Tanko Filmes;RJ;jun/82;1982;4,631,914
20;"""Minha Mãe é uma Peça""";André Pellenz;Migdal Produções cinematográficas Ltda;RJ;jun/13;2013;4,600,145
21;"""O Trapalhão no Planalto dos Macacos""";J.B. Tanko;J.B.Tanko Filmes;RJ;dez/76;1976;4,565,267
22;"""Simbad, o Marujo Trapalhão""";J.B. Tanko;J.B.Tanko Filmes;RJ;jun/76;1976;4,406,200
23;"""O Rei e os Trapalhões""";Adriano Stuart;Renato Aragão Produções Artísticas;RJ;jan/80;1980;4,240,757
24;"""Os Três Mosquiteiros Trapalhões""";Adriano Stuart;Renato Aragão Produções Artísticas;RJ;jun/80;1980;4,221,062
25;"""O Incrível Monstro Trapalhão""";Adriano Stuart;Renato Aragão Produções Artísticas;RJ;jan/81;1981;4,212,244
26;"""Lua de Cristal (1)""";Tizuka Yamazaki;Dreamvision;RJ;jun/90;1990;4,178,165
27;"""Nosso Lar""";Wagner de Assis;Cinética Filmes e Produções;RJ;set/10;2010;4,060,304
28;"""A Princesa Xuxa e os Trapalhões (1)""";José Alvarenga Jr;Renato Aragão Produções Artísticas;RJ;jun/89;1989;4,018,764
29;"""Até que a Sorte nos Separe 2""";Roberto Santucci;Gullane Filmes;SP;dez/13;2013;3,978,191
30;"""O Cangaceiro Trapalhão""";Daniel Filho;Renato Aragão Produções Artísticas;RJ;jun/83;1983;3,831,443
31;"""Loucas pra Casar""";Roberto Santucci;Glaz Entretenimento;RJ;jan/15;2015;3,726,547
32;"""Se eu Fosse Você""";Daniel Filho;Total Entertainment;RJ;jan/06;2006;3,644,956
33;"""Os Trapalhões e o Rei do Futebol""";Carlos Manga;Renato Aragão Produções Artísticas;RJ;jun/86;1986;3,616,696
34;"""De Pernas pro Ar""";Roberto Santucci;Morena Filmes;RJ;dez/10;2011;3,506,552
35;"""Jeca Macumbeiro""";Pio Zamuner e Mazzaropi;PAM Filmes;SP;fev/75;1975;3,468,728
36;"""Eu te Amo""";Arnaldo Jabor;Flávia Filmes;RJ;abr/81;1981;3,457,154
37;"""Jeca Contra oCapeta""";Pio Zamuner e Mazzaropi;PAM Filmes;SP;fev/76;1976;3,428,860
38;"""Até que a Sorte nos Separe""";Roberto Santucci Filho;Gullane ;SP;out/12;2012;3,417,510
39;"""Chico Xavier""";Daniel Filho;Lereby Produções;RJ;abr/10;2010;3,413,231
40;"""O Trapalhão na Ilha do Tesouro""";J.B. Tanko;J.B.Tanko Filmes;RJ;jun/75;1975;3,375,090
41;"""Cidade de Deus""";Fernando Meirelles;O2 Filmes Curtos;SP;ago/02;2002;3,370,871
42;"""Até que a sorte nos separe 3""";"Roberto Santucci; Marcelo Braz";Gullane Entretenimento;SP;dez/15;2015;3,335,667
43;"""Vai que Cola - O Filme""";Cesar Eduardo Rodrigues;Conspiração Filmes Entretenimento 3º Milênio;RJ;out/15;2015;3,307,837
44;"""Jecão, um Fofoqueiro no Céu""";Pio Zamuner e Mazzaropi;PAM Filmes;SP;jun/77;1977;3,306,926
45;"""Os Trapalhões na Terra dos Monstros (1)""";Flávio Migliacio;Renato Aragão Produções Artísticas;RJ;dez/89;1989;3,200,000
46;"""Xica da Silva""";Carlos Diegues;Terra Filmes;RJ;set/76;1976;3,183,582
47;"""Lisbela e o Prisioneiro""";Guel Arraes;Natasha Enterprises;RJ;ago/03;2003;3,174,643
48;"""Meu Passado me Condena""";Julia Rezende;Atitude Produções e Empreendimentos Ltda;RJ;out/13;2013;3,140,771
49;"""O Menino da Porteira""";Jeremias Moreira;Topázio Cinematográfica;SP;mar/77;1977;3,131,878
50;"""Aluga-se Moças""";Deni Cavalcanti;Madial Filmes;SP;nov/81;1981;3,082,925
51;"""Cazuza - o Tempo Não Para""";Sandra Werneck e Walter Carvalho;Lereby Produções;RJ;jun/04;2004;3,082,522
52;"""Olga""";Jayme Monjardim;Nexus Cinema e Vídeo;RJ;ago/04;2004;3,078,030
53;"""Os Normais""";José Alvarenga Jr.;Missão Impossível Cinco Produções Artísticas;RJ;out/03;2003;2,996,467
54;"""Robin Hood e o Trapalhão da Floresta""";J.B. Tanko;J.B.Tanko Filmes;RJ;jul/74;1974;2,978,767
55;"""Cilada.com""";José Alvarenga Jr.;Casé Filmes Ltda.;RJ;jul/11;2011;2,959,460
56;"""Independência ou Morte""";Carlos Coimbra;Cinedistri;SP;set/72;1972;2,924,494
57;"""Os Heróis Trapalhões""";José Alvarenga Jr e Wilton Franco;Renato Aragão Produções Artísticas;RJ;jun/88;1988;2,905,721
58;"""Jeca e seu Filho Preto""";Pio Zamuner e Berilo Faccio;PAM Filmes;SP;abr/78;1978;2,872,881
59;"""Super Xuxa Contra o Baixo Astral (1)""";Ana Penido, David So;Dreamvision;RJ;dez/88;1988;2,816,000
60;"""Roberto Carlos a 300 Km por Hora""";Roberto Farias;Produções Cinematográficas R. F. Farias;RJ;dez/71;1971;2,785,922
